教室,緯度,経度
大学会館B棟408,36.105737,140.102644
大学会館B棟410,36.105737,140.102644
第1サッカー場,36.102681,140.108354
第1多目的道場,36.101634,140.105319
第1体育館,36.1113555,140.1023039
第2トレーニング場,36.102881,140.103821
第2多目的道場,36.101634,140.105319
第2体育館,36.0923692,140.0992654
第3体育館,36.111581,140.099547
第4体育館,36.087121,140.106604
中央図書館本館2階ラーニング・スクエア,36.109076,140.101567
中央体育館会議室,36.102881,140.103821
八ヶ岳演習林,35.944376,138.469976
附属病院,36.092384,140.102165
防災203,36.111601,140.102303
野外活動実習場,36.100288,140.10848
野球場,36.100104,140.107109
理科系A504,36.109558,140.101032
理科系B107,36.109795,140.100657
理科系B501,36.109795,140.100657
理科系C103,36.109588,140.100404
理科系C502,36.109588,140.100404
理科系D502,36.109509,140.100207
陸上競技場,36.102614,140.106067
陸上競技場南 (フィールド),36.102614,140.106067
臨床講義室A,36.092939,140.102794
臨床講義室B,36.092939,140.102794
臨床講義室C,36.092939,140.102794
